"APPENDIX A
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1329,NI,"Musical
Attractio ns","Singing
Hoosiers",GK,NI,"Indian
apolis",IN,"Thursday,
February 22,
1951","Athenaeum
Turners",NI,"Centennial
Celebration Banquet",NI,NI,FALSE,7 00 pm,"Athenae
um Dining
Banquet"
1860,NI,"IU
Musical
Organiza tions","Singing
Hoosiers",GK,,"Indian
apolis",IN,"Thursday,
February 22,
1951","Athenaeum
Turners",NI,"Centennial
Celebration Banquet",NI,NI,TRUE,7 00 pm,"Athenae
um
Dining Hall"
1330,15 z,"Music School
Reservati on",Singing Hoosiers,GK,NI,Bloom ington,IN,"Friday, March 02, 1951",NI,NI,NI,NI,NI,TRUE,8 15 pm,East Hall
1331,15 za,"Music School
Reservati on",Singing Hoosiers,GK,NI,Bloom ington,IN,"Saturday, March 03, 1951",NI,NI,NI,NI,NI,TRUE,8 15 pm,East Hall
1332,NI,Musical Organiza tions,Singing Hoosiers,GK,NI,Martin sville,IN,"Tuesday, March 06, 1951",Kiwanis Club,NI,NI,NI,NI,TRUE,8 00 pm,Martinsv ille High School
1861,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Martin sville,IN,"Tuesday, March 06, 1951",Kiwanis Club,,,NI,NI,TRUE,8 00 pm,High School
1352,NI,NI,Singing Hoosiers,GK,NI,"Fort Wayn
e",IN,"Friday, March 09, 1951",Allen County Ag. Association,NI,Fish Fry,NI,NI,FALSE,NI,NI
1351,NI,NI,"Singing
Hoosiers",GK,NI,"Ander
son",IN,"Friday, March
09, 1951",High School,NI,NI,NI,NI,FALSE,NI,NI
1874,NI,"IU
Musical Organiza tions",Singing Hoosiers & Harp 4uartet,GK,,French Lick,IN,"Sunday, April 08,
1951",Lions Club Convention,NI,Lions Club Convention,NI,NI,TRUE,7 00 pm,"French Lick Hotel Banquet
Room"
1353,NI,NI,"Singing
Hoosiers",GK,NI,"French
Lick",IN,"Sunday, April 08,
1951","Indiana Lions
Club",NI,NI,NI,NI,FALSE,NI,NI
1875,NI,"IU
Musical Organiza tions",Singing Hoosiers,GK,,Bloom ington,IN,"Wednesday, April 11, 1951",IU School of Business & Indiana Bankers Assn.,NI,"Consumer Credit Conference 9ariety
Program",NI,NI,TRUE,7 45 pm,Alumni Hall
"Show
ID","Contra
ct Numb er","Contract
ed Through","Group
Name","Condu
ctor","Group
Size",City,"Stat
e",Date,Sponsor,"Progra
m Durati on",Event,"Spo
nsor
¶s Cos
t","Miscellan
eous Info","Invoice
d","Hour of
Performan ce","Place of
Perform ance"
,,,,,,,,,,,,,,,,
1354,NI,NI,"Singing
Hoosiers",GK,NI,"Bloom
ington",IN,"Wednesday,
April 11, 1951","School of
Business and Banker
Association",NI,NI,NI,NI,FALSE,NI,NI
